level,thinking,consistency,std,n
0,False,1.0,0.0,100
0,True,0.985,0.0753,100
1,False,0.9792,0.0833,16
1,True,0.8246,0.2388,19
2,False,0.9933,0.0469,100
2,True,0.9767,0.0855,100
3,False,0.9772,0.0975,73
3,True,0.9699,0.1007,94
4,False,0.98,0.0796,100
4,True,0.97,0.0959,100
5,False,0.9167,0.1537,98
5,True,0.9354,0.1388,98
