Subscale,Level,N,Accuracy %,Mean Conf
Commonsense,0,198,87.9,87.6
Commonsense,2,198,87.4,86.3
Commonsense,4,198,83.8,80.1
Commonsense,5,198,67.7,79.2
Deontology,0,198,78.3,90.5
Deontology,2,198,83.3,87.6
Deontology,4,198,84.8,76.8
Deontology,5,198,57.6,77.4
Virtue,0,198,77.3,84.2
Virtue,2,198,70.7,82.9
Virtue,4,198,33.8,74.7
Virtue,5,198,64.6,76.2
